SIMT;X;Y;CODINFRA;Nombre Paradero;Modo
L5_VA;351723.9886;6289229.915;VICENTE VALDES L5;Vicente Valdes L5;METRO
L5_VA;351723.9886;6289229.915;VICENTE VALDES L5;L5-L4;METRO
;351798.0802;6289999.125;VICUNA MACKENNA;;METRO
L4_VM;351798.0802;6289999.125;VICUNA MACKENNA L4;Vicuna Mackenna L4;METRO
L4_VM;351798.0802;6289999.125;VICUNA MACKENNA L4;L4-L4A;METRO
L4A_VM;351798.0802;6289999.125;VICUNA MACKENNA L4A;Vicuna Mackenna L4A;METRO
L4A_VM;351798.0802;6289999.125;VICUNA MACKENNA L4A;L4A-L4;METRO
L3_VF;353068.7761;6297191.438;VILLA FREI;Villa Frei;METRO
L3_VI;343812.9267;6304671.162;VIVACETA;Vivaceta;METRO
L2_ZA;347241.9032;6304167.092;ZAPADORES;Zapadores;METRO
