Demanda;periodomediodeviaje;paraderosubida;paraderobajada;netapa;serv_1era_etapa;t_1era_etapa;tespera_1era_etapa;ttrasbordo_1era_etapa;tcaminata_1era_etapa;serv_2da_etapa;t_2da_etapa;tespera_2da_etapa;ttrasbordo_2da_etapa;tcaminata_2da_etapa;serv_3era_etapa;t_3era_etapa;tespera_3era_etapa;ttrasbordo_3era_etapa;tcaminata_3era_etapa;serv_4ta_etapa;t_4ta_etapa
1.2541;04 - PUNTA MANANA;ALCANTARA;L-33-15-30-OP;2;L1;32.0167;-2.4333;-2.15;0.2833;T365 C0 06R;7.9;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-34-49-89-OP;2;L1;42.1;-2.8344;-2.1833;0.6511;F05 00I;15.8167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-34-52-40-PO;2;L1;40.4833;-0.9667;-0.1333;0.8333;F13 08I;4.5;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-34-58-60-NS;2;L1;42.1;-0.4344;0.2167;0.6511;F20 00I;7.5167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-34-70-45-PO;2;L1;46;-3.1809;-1.7667;1.4143;F16 00R;5.0333;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-34-70-60-PO;2;L1;46;2.1982;3.3167;1.1185;F10 00I;6.7667;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-34-85-1-SN;2;L1;46;-2.5563;-0.05;2.5063;F26 00R;11.4;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-7-15-15-NS;2;L1;25.0167;-0.1479;0.7333;0.8812;T387 00R;7.9;-;-;-;-;-;-;-;-;-;-
31.830799999999996;04 - PUNTA MANANA;ALCANTARA;LAS REJAS;1;L1;28.3333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11.3179;04 - PUNTA MANANA;ALCANTARA;LO OVALLE;1;L1;37.4167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6.3370999999999995;04 - PUNTA MANANA;ALCANTARA;LO VIAL;1;L1;33.25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.5555;04 - PUNTA MANANA;ALCANTARA;LOS LIBERTADORES;1;L1;33.9167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
